# EPA eGRID2023 data file, PLNT23 extract. 17 USC 105.
# Plants in AZNM, CAMX, ERCT, RFCE, RFCW, SRVC. Columns: orispl, subregion, net_gen_mwh, co2_tons.
orispl,subregion,net_gen_mwh,co2_tons
317,CAMX,393801,0
318,CAMX,296174,0
322,CAMX,506047,0
319,CAMX,377227.00099999999,0
320,CAMX,450605,0
321,CAMX,152879,0
10282,CAMX,10056,0
391,CAMX,8980,0
64993,CAMX,245753,0
63189,CAMX,3344,0
54296,CAMX,11159,3328.0970000000002
323,CAMX,35633,0
324,CAMX,26216.001,0
325,CAMX,49822,0
326,CAMX,13702,0
327,CAMX,9624,0
66799,CAMX,1608.999,0
7229,CAMX,20217,0
66863,CAMX,6887,0
56090,CAMX,45092,43167.478999999999
59524,CAMX,40102,0
62077,CAMX,2988,0
55295,CAMX,1546542,743198.06299999997
65053,CAMX,602802,0
60093,CAMX,593456,0
60092,CAMX,323464,0
60094,CAMX,309133,0
60095,CAMX,304136,0
65383,CAMX,4075,0
56862,CAMX,93,0
59531,CAMX,119939,0
59461,CAMX,161143.997,0
50546,CAMX,15325,0
58007,CAMX,247015.35,0
57580,CAMX,19346,11653.81
64579,CAMX,3714,0
65186,CAMX,1220,0
65187,CAMX,2547,0
65188,CAMX,3079,0
57962,CAMX,220358,0
220,CAMX,72217,0
56446,CAMX,90890,0
60154,CAMX,899,0
60151,CAMX,2230,0
60153,CAMX,2074,0
10706,CAMX,6200,0
10652,CAMX,186654,8144.5029999999997
221,CAMX,146546,0
57970,CAMX,6671,0
64471,CAMX,12752,0
58251,CAMX,36388,0
65528,CAMX,5399,0
65615,CAMX,462,0
65365,CAMX,1825,0
60428,CAMX,3772,0
60033,CAMX,257214,0
60034,CAMX,304852,0
64518,CAMX,2353,0
65525,CAMX,1109,0
65523,CAMX,3723,0
65447,CAMX,2783,0
58440,CAMX,4522.0020000000004,0
58253,CAMX,7743.9989999999998,0
57573,CAMX,21708.959999999999,7530.0590000000002
63490,CAMX,272311,0
61620,CAMX,8728,0
59748,CAMX,2063,0
61619,CAMX,2343,0
61621,CAMX,3552,0
10631,AZNM,335023,14875.040999999999
55984,AZNM,37858,1680.902
60077,CAMX,8585,0
60078,CAMX,47722,0
60079,CAMX,47153,0
60080,CAMX,36143,0
60081,CAMX,46909,0
62378,CAMX,1048,0
63204,CAMX,2563,0
59183,CAMX,38963,0
52147,CAMX,110486,36357.919999999998
59130,CAMX,1904,0
59129,CAMX,1444,0
65182,CAMX,5552,0
63701,CAMX,8311,0
56813,CAMX,1094,0
62028,CAMX,6901,0
58422,CAMX,819,0
64401,CAMX,4460,0
50851,CAMX,482,189.89
60979,CAMX,2588,0
60978,CAMX,1514,0
58169,CAMX,37365.000999999997,10508.485000000001
56011,CAMX,118043,0
67179,CAMX,13,0
302,CAMX,296369,178692.63099999999
63054,CAMX,7421,0
55510,CAMX,13235.999,8657.0589999999993
55513,CAMX,5467.0020000000004,3566.58
55508,CAMX,26415.001,16732.600999999999
55499,CAMX,7208,4673.9769999999999
56768,CAMX,6326,0
65202,CAMX,6819,0
65193,CAMX,5565,0
65361,CAMX,8271,0
57163,CAMX,47398,0
65564,CAMX,2354,0
63516,CAMX,5320,0
10262,CAMX,15825,5151.6689999999999
59283,CAMX,1976,0
64403,CAMX,7681,0
57439,CAMX,623763,0
59088,AZNM,37200,0
64521,AZNM,17816,0
50066,CAMX,472942,20998.598000000002
10034,CAMX,59471,23633.985000000001
55112,CAMX,2135122,926475.71
57460,CAMX,401.005,0
537,CAMX,58080,0
10586,CAMX,125098,0
430,CAMX,481810,0
7552,CAMX,616298,298881.32199999999
58467,CAMX,328579,0
65740,CAMX,7243,0
57522,CAMX,33903,0
57027,CAMX,102533,64211.923000000003
222,CAMX,197944.00099999999,0
223,CAMX,434023,0
10169,CAMX,34839,17986.569
7527,CAMX,152406,65500.317999999999
58590,CAMX,52965,0
392,CAMX,136341,0
63385,CAMX,7776,0
57870,CAMX,1675,0
60277,CAMX,917,0
64836,CAMX,1763,0
59334,CAMX,44991,0
57708,CAMX,262670,0
67000,CAMX,927,0
56475,CAMX,4274.9989999999998,3704.47
58430,CAMX,491597.00099999999,0
64519,AZNM,18147,0
63940,CAMX,70027,0
60281,CAMX,7231,0
59963,CAMX,28840,0
63439,CAMX,18015,0
58258,CAMX,38888.36,11546.710999999999
55934,CAMX,651,959.6
62150,CAMX,6584,0
50003,CAMX,43797,18869.995999999999
65238,CAMX,3777,0
65253,CAMX,3491,0
65254,CAMX,4160,0
63545,CAMX,68896,0
412,CAMX,134674,0
10175,CAMX,26712.999,11373.813
225,CAMX,43492,0
56185,CAMX,13571.008,8175.5680000000002
58506,CAMX,6804,0
57011,CAMX,1152,0
55540,CAMX,1732.001,1748.9870000000001
59738,CAMX,6617,0
62052,AZNM,64581,0
58525,CAMX,10284,213.803
57682,CAMX,1549,0
57714,CAMX,20.58,47.515999999999998
66667,CAMX,1199,0
59329,CAMX,4323,0
56356,CAMX,13111,5385.415
60813,CAMX,2258,0
58949,CAMX,1569,0
66469,CAMX,1425,0
66468,CAMX,1260,0
66470,CAMX,1434,0
6060,AZNM,754,2789.9079999999999
64323,CAMX,155367,0
52086,CAMX,67039,20194.366000000002
50750,CAMX,44357,13846.441999999999
58379,CAMX,10025,0
227,CAMX,34108,0
454,CAMX,1695199,0
60825,AZNM,156281,0
54555,CAMX,978198,0
10661,CAMX,5997,0
59798,CAMX,1433,0
59597,CAMX,2289,0
59598,CAMX,1148,0
59979,CAMX,19736,0
56532,CAMX,2946217,1282780.0179999999
846,CAMX,6785.0010000000002,0
65211,CAMX,7758,0
58545,AZNM,13339,0
393,CAMX,91032,0
54299,CAMX,36260,0
54298,CAMX,31951,0
54750,CAMX,4309,0
60450,CAMX,1997,0
58374,CAMX,34716,0
59413,CAMX,46806,0
59900,CAMX,49200,0
480,CAMX,4115,0
59638,CAMX,28554,0
59536,CAMX,3356,0
59537,CAMX,3430,0
10875,CAMX,277254.99900000001,12310.134
10873,CAMX,425737,18902.726999999999
10874,CAMX,363948.99900000001,16159.35
55970,CAMX,2914550,1234409.9080000001
394,CAMX,1288,0
59087,CAMX,21124,0
59086,CAMX,25325,0
59703,CAMX,1383,0
64601,CAMX,3134,0
62242,CAMX,2283,0
50632,CAMX,93226,135103.58600000001
10707,CAMX,14365,0
229,CAMX,1680,0
55625,CAMX,8187.9989999999998,5344.31
231,CAMX,121710,0
55084,CAMX,1479637,517518.38500000001
58527,AZNM,537,0
66714,CAMX,932,0
60043,CAMX,75270,0
55512,CAMX,12084.999,8125.2070000000003
52081,CAMX,37208,11326.782999999999
52104,CAMX,54372,16867.093000000001
52082,CAMX,37094,11239.155000000001
63486,CAMX,4101,0
63419,CAMX,3235,0
63947,CAMX,3952,0
63418,CAMX,4844,0
59746,CAMX,4246,0
54238,CAMX,326252,0
64851,CAMX,23762,0
64852,CAMX,318907,0
65364,CAMX,5807,0
232,CAMX,47198,0
7507,CAMX,3111,0
64861,CAMX,2705,0
233,CAMX,10203,0
10632,AZNM,311215,13817.964
58122,CAMX,2050.0010000000002,1448.116
61116,CAMX,990,0
55333,CAMX,4200083,1795387.781
64517,CAMX,4139,0
58119,CAMX,2368,0
60861,CAMX,5286,0
57959,CAMX,8614,0
64103,CAMX,125766,0
62177,CAMX,191073,0
58514,CAMX,5897,0
58542,CAMX,543525.00100000005,0
57993,CAMX,659430.99899999995,0
10300,AZNM,201906,3556.8490000000002
436,CAMX,1159756,0
6099,CAMX,17718368,0
56271,CAMX,35763,0
64622,CAMX,10903,0
59405,CAMX,2343,0
54686,CAMX,15317,0
56791,CAMX,151356,0
10005,CAMX,7868,0
60100,CAMX,0,0
57827,CAMX,1560,0
380,CAMX,586820,0
65200,CAMX,6979,0
62571,CAMX,7573,0
64308,CAMX,5858,0
59094,CAMX,2705,0
59095,CAMX,1137,0
59096,CAMX,1465,0
54449,CAMX,48694,18055.888999999999
52064,CAMX,13738,0
439,CAMX,538261.00100000005,0
65177,CAMX,2297,0
56026,CAMX,862095,418069.217
415,CAMX,347749,0
64693,CAMX,1614,0
50493,CAMX,22926,14195.941999999999
67432,CAMX,354,0
65766,CAMX,2747,0
63127,CAMX,294012,0
55935,CAMX,606,869.24400000000003
585,AZNM,5378.0010000000002,0
385,AZNM,34782,0
386,AZNM,27638,0
387,AZNM,79843,0
314,AZNM,9236,0
235,CAMX,88194.001000000004,0
236,CAMX,271031,0
60182,CAMX,2245,0
237,CAMX,112054,0
413,CAMX,46717,0
6211,CAMX,6031,6261.4
60446,CAMX,2281,0
10776,CAMX,5687,3350.8820000000001
59132,CAMX,2621,0
59133,CAMX,2433,0
54453,CAMX,21005,0
64406,CAMX,5270,0
64396,CAMX,8014,0
64399,CAMX,2811,0
64397,CAMX,9470,0
64398,CAMX,3570,0
63704,CAMX,16503,0
63705,CAMX,20627,0
63708,CAMX,29237,0
64270,CAMX,4574,0
63078,CAMX,7568,0
586,AZNM,3014,0
50375,CAMX,4028,0
50820,CAMX,4704,0
50553,CAMX,10787,0
437,CAMX,1454102.0009999999,0
58076,CAMX,866.00099999999998,0
64878,CAMX,316119,0
65674,CAMX,330180,0
64879,CAMX,298896,0
64877,CAMX,53580,0
65675,CAMX,227915,0
65676,CAMX,144215,0
64929,CAMX,99294,0
64928,CAMX,84851,0
65677,CAMX,68873,0
57001,CAMX,7587.9989999999998,5136.5159999999996
389,AZNM,1089549,561799.28899999999
238,CAMX,100957,0
64402,CAMX,3767,0
64700,CAMX,3338,0
56707,CAMX,1025,49.302999999999997
330,CAMX,147297,78757.513999999996
10213,CAMX,1154658.8600000001,702136.19700000004
239,CAMX,393529,0
59964,CAMX,98911,0
55950,CAMX,7968,3561.1080000000002
55400,CAMX,3775457,1276218.7379999999
8076,CAMX,3785,3103.4630000000002
10634,AZNM,359388,15956.855
10026,CAMX,14356,458.089
58168,CAMX,4746.9989999999998,2089.7020000000002
59122,CAMX,2495,0
65210,CAMX,13456,0
50530,CAMX,334633.04200000002,110765.841
62671,CAMX,35870,0
62704,CAMX,8050,0
62702,CAMX,28182,0
62703,CAMX,27819,0
62705,CAMX,7801,0
60223,CAMX,7644,0
55538,CAMX,23340,13870.692999999999
66772,CAMX,519,0
745,CAMX,16728,0
409,CAMX,250621,0
58306,CAMX,3805,0
58761,CAMX,3827,0
58762,CAMX,4060,0
58763,CAMX,3483,0
63604,CAMX,5980,0
63607,CAMX,8460,0
58261,CAMX,1196,0
62575,CAMX,8704,0
57201,CAMX,97526,0
57506,CAMX,1310,0
63993,CAMX,1065,0
10052,CAMX,0,0
59203,CAMX,5658,0
55847,CAMX,45241.000999999997,32167.185000000001
64197,CAMX,68933,0
63994,CAMX,1616,0
64391,CAMX,3894,0
65168,CAMX,2307,0
59523,CAMX,101956,0
57498,CAMX,18872,0
441,CAMX,895140,0
61698,CAMX,611,0
332,CAMX,6185,0
396,CAMX,32154,0
6645,CAMX,19634,0
417,CAMX,155030,0
59651,CAMX,1737,0
50350,CAMX,41945,0
57791,CAMX,2867,0
61066,CAMX,4216,0
61442,CAMX,5981,0
58102,CAMX,3542,0
58112,CAMX,1600,0
58101,CAMX,3268,0
62654,CAMX,18074,0
57792,CAMX,391,0
61443,CAMX,5914,0
58114,CAMX,23004,0
58113,CAMX,9575,0
57626,CAMX,1806,0
61444,CAMX,5372,0
61067,CAMX,4018,0
58104,CAMX,1365,0
58105,CAMX,1774,0
62287,CAMX,1848,0
50219,CAMX,2500,0
57809,CAMX,3829,0
60183,CAMX,1641,0
65131,CAMX,2342,0
65072,CAMX,532,0
424,CAMX,67365,0
63420,CAMX,2162,0
10156,CAMX,3034,1070.518
63421,CAMX,2090,0
60083,CAMX,3813,0
63422,CAMX,2524,0
50393,CAMX,106187,0
62275,CAMX,2623,0
60039,CAMX,40134,0
58320,CAMX,10840,0
57133,CAMX,25154,0
63714,CAMX,16341,0
56909,CAMX,5746,0
58528,CAMX,6139,0
57302,CAMX,14829,0
50492,CAMX,27927,0
61445,CAMX,26191,0
57892,CAMX,37517,0
56476,CAMX,3085208,1343001.56
60844,CAMX,12403,0
60231,CAMX,6732,0
57394,CAMX,618184,0
7368,CAMX,334834,14866.634
7369,CAMX,198851,8828.9760000000006
286,CAMX,4499612.0020000003,199782.761
7231,CAMX,9873,8631.9639999999999
57521,CAMX,13360,0
59522,CAMX,21925,0
65409,CAMX,1514,0
65408,CAMX,2293,0
55810,CAMX,24174.999,16642.266
58432,CAMX,45387,23914.508999999998
422,CAMX,40910,25260.904999999999
54749,CAMX,13623,5949.0829999999996
59328,CAMX,4846,0
63859,CAMX,516092,0
60590,CAMX,144653,0
61222,CAMX,143373,0
60049,CAMX,247776,0
57796,CAMX,1749,0
57797,CAMX,1907,0
65568,CAMX,2686,0
55627,CAMX,15736,10095.489
10128,CAMX,2975,0
65485,CAMX,9076,0
56472,CAMX,3998,3694.877
58217,CAMX,1889,0
58204,CAMX,1503,0
377,CAMX,32724,31205.884999999998
59940,CAMX,561408.99899999995,0
57849,CAMX,4830,0
57850,CAMX,1538,0
61339,CAMX,6246,0
61215,CAMX,7194,0
61216,CAMX,6316,0
58370,CAMX,1582,0
58371,CAMX,3990,0
7338,CAMX,1892,0
62987,CAMX,2079,0
10115,CAMX,27453,9268.5220000000008
62690,CAMX,2272,0
57891,CAMX,24216,0
56039,CAMX,297.92,231.96600000000001
10777,CAMX,205097,985.66200000000003
62655,CAMX,10946,0
240,CAMX,499693,0
59300,CAMX,4577,0
55698,CAMX,4050,2535.944
50541,CAMX,25557,18637.850999999999
399,CAMX,154676,96077.445000000007
